coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,coregistration/source_target/anat_on_func,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,True,True,False,False,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,True,False,ffe5fd155155bb3f5e867f92280f01e4c64d7310b296b7e7cfa291acb24c5faf,0.8730327221620454
False,False,True,False,False,True,False,True,False,False,0,0,False,False,0,0,0,6,True,False,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,True,False,ffa7a37a2391fe6330a7bb9cc6ff3ca33a21dad0574818e1fffba665080e9734,0.797196020134155
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,True,False,True,0,True,True,False,False,False,True,False,0,True,True,True,True,False,ff078fcf078572e9e6e0dc06f7a15f7c1fb23b2e3c105fc99ad58b81b53cc50e,0.8977095282733729
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,False,True,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,True,False,ff0700f5a5f0dcdfd6340cd6953d611c58d5879c481968757f08dfb7f6e8da8d,0.9038219342525524
False,False,False,True,True,True,False,True,False,False,0,0,False,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,True,False,fd22f0499c8771e44abc9a11b683adc072232a88fdf9844812a2654c7b323c73,0.800695596069788
False,True,False,True,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,True,False,fc6b67c96acfe27051e91ae24b98cef1c962c7fb49b4a68a3f37786f9a7b3739,0.9537050196645596
False,True,False,False,True,False,False,True,False,False,0,18,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,True,False,fb2fe3b1e52d07b31db9278f4f93e3bace825fd8c43c9fddfafba767ff0c048d,0.9620153821084114
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,False,False,True,True,False,True,0,True,True,False,False,False,True,False,0,True,True,False,True,False,fb062d6049144a0933f4521ff1ff69269f88bc609e1e5fc127af35434408b1d2,0.7889525051229462
False,True,True,True,False,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,True,False,fa0e602c3d737a1f9596df7025546e1b535f2c44099e6918d46adee2e4e979cc,0.978404837729052
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,True,False,f9a71142929a49c290d159fb62a502f492e21eb989571a4d9dee57c2f8e771b2,0.7845407982623636
