coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,f77048e17dac0dea139e87dc37c8d282739a793a3c2ff9850b708f64f41e1185,0.9503653937842356,0
False,True,True,True,False,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,False,False,0,True,True,False,False,False,True,False,0,True,True,True,False,f6632ab6d68a0f57a3a4dc17ed0d3574d88f9f61d99feb96a8d0331dbb2f21e8,0.936752823990272,0
False,True,True,False,False,True,False,True,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,f1e74d87690b43479e650405df3b7e88fd5a029123ec063f01e2892084d6e895,0.9424081315792132,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,True,True,False,False,False,True,False,0,True,True,True,False,f0a6cf15ddcb46e8da3ed4abd95a3cbd1409d35c59a7af42273eb6e103ae5c2e,0.9277972562027704,0
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,False,True,0,True,False,False,False,False,True,True,0,True,True,True,False,ec1b38841f063fb8fd3ad8c4699a593fa1388700745f47fc1be074c318b0976b,0.9555844907120012,0
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,eb67eeff5ddd1511a3330ead5560c800e32f360d48ad1940ea1c693f8c4ed347,0.9385249371085452,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,e9e0988a3e61ce4d61195c7f360ad7de56058d76525b3d3b4a7de708d361d522,0.9137381794229124,0
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,e9ae6ef064724bd027f708da02981e37dd8d32008474ba807bfc116f685daf6b,0.9142132739956612,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,False,da8b1ea9e05f6a22b002baef15b0576535d7054c1ffa85dd58e4af07d76b3a58,0.9380148411242928,0
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,False,True,0,True,True,False,False,False,True,False,0,True,True,True,False,d9020289b00c4e1e5aa4a8f8e6fcb6e1d46b533b9cf60bb14bb409dc76346e34,0.9337559861461509,0
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,True,True,0,False,True,False,False,False,True,False,0,True,True,True,False,d760046a241d31861d871118b8035f3df1168383447e404b10e6ca775e38590d,0.9396420233834804,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,d30a2359d1483309443407963af210f2411acfa209e179eb0ab4df0589516504,0.9453696286111744,0
False,True,False,True,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,False,0,True,True,False,False,False,True,False,0,True,True,True,False,d2d9cfb811cc02ea00cd562cd368bcc89debe3a4b0c968a4a89b30b0014d6898,0.929838753036528,0
False,True,False,True,True,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,d0ba71afad003e2e24fc3701f859bac71fdf7e44dc9725bb7979e559b8262f60,0.932785264065382,0
