coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,False,True,False,False,False,False,True,False,False,0,0,True,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,fe187d85e9881b86f4c0f4c87ce14eb52f5e5d7a71cfb2b7ea75dad7bcb2e19c,0.3847057405473721
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,fd92d490c97767be9c1169ffc4675d9f01366f9f6ff0d08c8915904a1040642d,0.4015118406103407
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,fd09e8ce2cb01b0c854e55b713d61154a924d4a8a36a0ca8d5eb5fdceed91780,0.4721655724734294
False,True,True,False,False,False,False,True,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,fcfa31d6409fa706f158fd0785f60198dea711f4ea82aac71286ff5e7eb142c3,0.5472149056987792
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,fa2deb46827075242a1260f6b1197f4c23c8fb5b891cecc1feecbdf1d9917c34,0.5065402174834397
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,True,0,True,True,False,False,f9e51f4b858c6c4927540fb8cd1816f34bc7b7b5649f20eff05e2b5182079aa7,0.5781198180490081
False,True,True,False,False,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,f9841ba0dcc4ff6ef463609fffe51b34655c5723da9e3db4cd2567b6acdf561b,0.5309801548933181
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,f7b6efd01f9c28a9dbaf30553ec5b9c7b6eb2fbcb962d2338047bdb7f809c6fa,0.4173344481509602
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,False,0,True,True,False,False,f080510bd0108c3ab5123c80f7da9c4467d0b7fe7beefa014260fb9ab3ef794d,0.4178143598368345
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,f074f4391e33764e10b2bc4d1c2c23a51335f4166b2e59181e73d21be0f32f76,0.4027305268556542
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,ef9c96bb413750b89292cfa1af757fd95e86d595ac4039cab497b77310abdae6,0.5458110373514773
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,ef9434892761e0e4575ceaa4abb74bb5405a765027f6c29dbcd0bcd48e522718,0.5850863979403116
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,ec79c4cb1f0fb47cd4964a018152a1c4e3309fcfd44650a6a97115935bf2024b,0.5490216241691007
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,ec64ba1265d8289706b5d96d13e0952c233384f2aa127ca9e61d0d4eb7950ed8,0.5474722870602848
False,True,True,False,False,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,ebf43b590b82b8c1b8558044ce4a355391ab0e2e4b8aceeb428ed4c1999d5adf,0.5436542596017121
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,ea5d5205b9f8e6a3e8384509b25bf1571ea77f0d78d072dfa66646a6b49572e0,0.5489703138090309
False,False,True,False,False,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,e71d0cd6cc035220defbe87b5fac071135838314d146cd6b308ab73281df755c,0.4076794637631134
False,True,True,False,False,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,e65bf9f6da5c0c1f1105c052111854d821ccf00c90133f12a33876b9b4f4135d,0.4726821751340572
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,e505160250f4709c2de37fd708d5c8fd3f274431daed3dc940bc665940831bdf,0.4154537394304376
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,d53771f5c194075e9f33abee0e0d04a2a7988517f375b1fd3053ec9067a3c14f,0.4730828528730222
False,True,False,False,True,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,d4ffe60d44d9c7eb5d8b057bd8fe02e7b225a1e13c7cb3f0cbcd6d2cef9f35db,0.5474722870602848
False,True,True,False,False,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,False,0,True,True,False,False,d4ee472a73605e4546a4998800f842f55ba0bce030d2cef2407437c96442425b,0.5672553309200892
False,True,True,False,False,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,d4ca84f670d45643d34643b97f602aaa87e3cffa58e5395d8e83b3aa707c5bed,0.5297088384828297
False,False,True,False,False,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,d4714f0f324072e5fb4cb8cd559e4c324ac788e13fb774d423a7ae6d207e4750,0.3843644069840862
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,d41c92ca051eaaed9e3f0d2fbaf9fd6762eece9359e23a1073029e505dc2a191,0.5478995323611067
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,d413627d167805e8ed35b4b217a1b948180bddff157187284625700bdf8670ee,0.5150872731497746
False,False,False,False,True,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,d3edca97096cecef2cb6368db4d458b16210cd078b278b2702910cc8bd0797ba,0.4189842211324102
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,d2cd4a0a3a85f525e039ec23b63a34f4c4b7a7c4221c4a7982ac6c6dbef62140,0.4964037021657843
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,d219bb24e94910d92953e0a3b942103db2e1b516d01b7befa6d976e8827a3255,0.513970798410257
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,True,0,True,True,False,False,d15358f25d641113072ad55454ca7adf11c2a1e9f4d8f51ce802d976fac4dcba,0.4752822440112189
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,c307b7beeb3dad50ab62b5026222264b45665b5a01fdc115810e69af2ccb08fc,0.5543815254237039
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,c0ecc1a5512f029501916b781992e1fc81432068f99f5023ddfbbe6dfdec8193,0.5795925516887681
False,True,False,False,True,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,c04ab4441337788ebd4aa26035ce3969b73067b1e5286423b418cc4d27a9e29b,0.5480345732175568
False,True,True,False,False,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,c00118978a96f5de4a7b7d7a5d9b6a93c582663bba8c1d06d5731c4254747c99,0.5618612453344468
False,True,False,False,True,False,False,True,False,False,0,18,True,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,bfbf52d71d6d732c87603db349a8e4be672e40c3b8e5994a61eb6a317dd1f1be,0.5366058251464224
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,bdc0c6db88c1bed1984d5dc1476e740d9150df54eae92342b44ab576ff3c790e,0.5366058251464224
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,bd2b266760310526bbbb348058b0d1dff44684aa5dda08d8254593ea0403d44a,0.5591084157626456
False,True,True,False,False,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,ba73e5a000b28156c02dedddb74fee984d877605dc9b7cf0c63bed6d4e2aeca5,0.5430320617697372
False,True,True,False,False,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,b75e6394c283a11d35a3e924fa9298e1a4ddb956c15ca44d6f60933660abcca6,0.508220220049555
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,b6f4a1f0f21521893d27bb4e5f5343066328312f1b8e57b182ec8d16c6f1ed33,0.5061647547674007
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,b6d910daa74ad35666e43549979a5fc0337f70d3609507be521921650ca31cbb,0.4970467691897783
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,b68ce56ecd8023e4207ef1f043f15a40fedd04a3d2cc8b223eadf602d0afff61,0.4795729532903697
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,b4c9f5bd97ed80e824124bd8319ba6fddba925d9068c068e6a8e48e5cc4b36bc,0.3921905105420001
False,True,True,False,False,False,False,True,False,False,0,18,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,b37758404e40f9dea67fbd21cea525377ab19ba18e09aff08d243b81d1932b55,0.5383804362215587
False,False,True,False,False,False,False,True,False,False,0,0,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,b10ea0e93efbd00e19d1b94c9ce9145d0e9123cff8b0893b67823a62e581c57e,0.407919862967268
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,aeedbd441307ff57b35ae43411b7f132493fe26bea5c2f0efefc433188539af3,0.5236399265524777
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,False,False,0,True,True,False,False,False,True,False,0,True,True,False,False,ade0dea722a533414a448c82e5af12ca0c4a239c1dfdf2e25eb538c4a63da1c2,0.5486671513857172
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,ad723eef14dfa9f1043144a7c84c9baabecac76fc1f992e6f61eff3735a9695c,0.5393418379949564
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,ac57830c8502acc73e4706a4bb7e4fda316776bf4938be4f9c1e15a2704da862,0.4164425770974688
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,a90811473fc32c042f2784233b083de79e1cccd2593cb42e8ccc2ec30206a26d,0.407764230531197
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,a7bd769c6275148059f47d14beee039c7fa688c6c012d7e73fef56e9829536e1,0.3848514570059321
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,a2696f8befe0e86cccc8cb112288244eebefcc9f346d81e57a374767d264fea0,0.4832060496605675
False,False,True,False,False,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,9ff9415870204fa83528db9ce21fdbf8f76795aeb3012d7afc8fddbdcbc3a631,0.3794136303111239
False,True,False,False,True,False,False,True,False,False,0,24,True,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,9ac75bdba35937c8d5cd02171288c7b349c382e5026a6c6cf8d6a412669ef97d,0.5632468957140354
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,991175d21148dc313656768487c3b162eed81bf38f3ad376fcb280c22bc8739b,0.5393418379949564
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,97a5ebf9819c725d4a0b85921f636975968b990a250941f25b231b21e573a765,0.5229238763037662
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,978a691b6e417532e7ce83f6f4c2ce8ac777101214474f922bd7f9342efb35c2,0.4796191432103508
False,True,False,False,True,True,False,True,False,False,0,6,True,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,956f32e1bf9274d02dd1bb7b52740d5b0be20bb5de417ca4a67f3a6441466eca,0.4868802647862228
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,8eb671ebed5f3eac01d793cdfef59ddb86181c1cad62189a9cb1545b167c5927,0.4796191432103508
False,True,False,False,True,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,8c984c42e080387436634b0d6c28b962e52f66261ee149e76c47e17eace3ea70,0.5073718954813266
False,False,False,False,True,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,8b459f8b26e5b2d1ebbe3ff80f5bfe73d376c824e03f94b8da8e79c27ffc6e39,0.4171869251571641
False,False,True,False,False,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,8a9797201a7882a865c896385904f67dd9071401da65cad3621a7703efc14fda,0.4009682113359261
False,True,True,False,False,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,8a2d216deb3e9981ba68f4b9242ccb435a565d2d5198c2f07d5c306ec5a62a23,0.5487754909833141
