coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,True,True,False,False,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,ffe5fd155155bb3f5e867f92280f01e4c64d7310b296b7e7cfa291acb24c5faf,0.8728556998082034
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,True,False,True,0,True,True,False,False,False,True,False,0,True,True,True,False,ff078fcf078572e9e6e0dc06f7a15f7c1fb23b2e3c105fc99ad58b81b53cc50e,0.9155502140928208
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,False,True,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,False,ff0700f5a5f0dcdfd6340cd6953d611c58d5879c481968757f08dfb7f6e8da8d,0.9087111705808328
False,False,True,False,False,False,False,True,False,False,0,0,True,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,fe187d85e9881b86f4c0f4c87ce14eb52f5e5d7a71cfb2b7ea75dad7bcb2e19c,0.7080888548171617
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,fd92d490c97767be9c1169ffc4675d9f01366f9f6ff0d08c8915904a1040642d,0.7045245339693185
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,fd09e8ce2cb01b0c854e55b713d61154a924d4a8a36a0ca8d5eb5fdceed91780,0.7688552612810112
False,True,True,False,False,False,False,True,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,fcfa31d6409fa706f158fd0785f60198dea711f4ea82aac71286ff5e7eb142c3,0.8480856068716439
False,True,False,True,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,fc6b67c96acfe27051e91ae24b98cef1c962c7fb49b4a68a3f37786f9a7b3739,0.9679882938609145
False,True,False,False,True,False,False,True,False,False,0,18,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,fb2fe3b1e52d07b31db9278f4f93e3bace825fd8c43c9fddfafba767ff0c048d,0.9771993750137749
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,fa2deb46827075242a1260f6b1197f4c23c8fb5b891cecc1feecbdf1d9917c34,0.7925173644107055
