coregistration/source_target/func_on_anat;motion_correction_realignment/tool;spatial_normalization/bias_fwhm/60;signal_modeling/nuisance_regressors;spatial_normalization/algorithm;motion_correction_realignment/register_to/mean;coregistration/cost_function;signal_modeling/hrf;spatial_smoothing/tool;coregistration/cost_function/normalised_mutual_information;distorsion_correction;spatial_normalization/bias_fwhm/30;first_level;motion_correction_realignment/register_to/first;signal_modeling/tool;spatial_smoothing/fwhm/10;coregistration/tool/spm;signal_modelling/temporal_noise_autocorrelation/FAST;spatial_normalization/bias_fwhm/90;signal_modelling/temporal_noise_autocorrelation;coregistration/tool;spatial_normalization/template/MNI152_linear;spatial_normalization/interpolation/trilinear;spatial_normalization/bias_fwhm/80;spatial_smoothing/tool/spm;pipeline;signal_modeling/nuisance_regressors/motion/24;signal_modeling/nuisance_regressors/motion/6;spatial_normalization/template/MNI305;spatial_normalization/algorithm/linear;spatial_normalization/bias_regularisation/light;preprocessing;signal_modeling/nuisance_regressors/motion;coregistration/cost_function/normalised_cross_correlation;spatial_normalization/template/Ixi549Space;spatial_smoothing/fwhm/12;spatial_normalization/algorithm/DARTEL;spatial_smoothing/fwhm/2;spatial_normalization/bias_regularisation/medium;spatial_normalization/bias_regularisation/very_light;spatial_normalization/bias_fwhm;spatial_normalization/bias_fwhm/70;spatial_normalization/tool;segmentation;spatial_smoothing/fwhm;coregistration/cost_function/mutual_information;spatial_smoothing;spatial_normalization/template;signal_modelling/temporal_noise_autocorrelation/AR1;slice_timing_correction/ref_slice/middle;slice_timing_correction/ref_slice;spatial_normalization/interpolation;signal_modeling/hrf/temporal_derivs;coregistration/cost_function/entropy_correlation_coefficient;spatial_normalization;motion_correction_realignment/register_to;signal_modeling/tool/SPM;spatial_smoothing/fwhm/6;spatial_normalization/bias_regularisation/extremely_light;signal_modeling/hrf/canonical;spatial_normalization/interpolation/nearest_neighbour;spatial_normalization/bias_fwhm/110;spatial_normalization/bias_fwhm/40;spatial_normalization/tool/spm;spatial_normalization/bias_regularisation;spatial_smoothing/fwhm/4;motion_correction_realignment;signal_modeling/nuisance_regressors/comp_cor;signal_modeling/hrf/temporal_dispersion_derivs;spatial_normalization/algorithm/nonlinear;slice_timing_correction/tool;signal_modeling/nuisance_regressors/motion/18;spatial_normalization/bias_fwhm/140;spatial_normalization/interpolation/bspline;spatial_normalization/bias_regularisation/heavy;signal_modeling;slice_timing_correction;spatial_normalization/bias_fwhm/120;motion_correction_realignment/tool/spm;slice_timing_correction/tool/spm;spatial_smoothing/fwhm/14;spatial_normalization/bias_fwhm/150;spatial_smoothing/fwhm/8;slice_timing_correction/ref_slice/first;spatial_normalization/bias_fwhm/130;coregistration/source_target/anat_on_func;spatial_normalization/bias_fwhm/100;spatial_normalization/template/MNI152_nonlinear;coregistration/source_target;coregistration;id;pearson_from_ref;pearson_from_mean;spearman_from_ref;spearman_from_mean
False;True;False;True;True;True;True;True;True;True;True;False;True;False;True;False;True;False;False;True;True;False;False;False;True;True;False;True;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;True;True;True;True;True;False;True;True;True;True;False;False;False;False;False;True;False;False;True;False;False;True;True;False;False;True;False;True;True;False;True;True;False;False;False;False;False;True;False;False;True;True;3c05066eec67a15033be163c0f9ff11b5c10fd45cd65ba4bee3ceb1d429624db;0.8852936206783558;0.9087015399166423;0.7092844633190988;0.8423918339932042
True;True;False;False;True;True;True;True;True;False;True;False;True;False;True;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;True;False;True;True;False;True;True;True;True;True;False;False;False;False;False;True;False;False;True;False;True;True;True;False;False;True;False;True;True;False;True;True;False;False;False;True;False;False;False;False;True;True;893964ab30cc3576a3e67365258d83dbf1004113959bb6bf221715d6bffc56ac;0.2627195709404303;0.6154705947109452;0.21889619489451426;0.41995425860008995
True;True;False;False;True;True;True;True;True;False;True;False;True;False;True;False;True;True;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;False;False;True;True;False;True;True;True;True;True;False;False;False;False;False;True;False;False;True;False;True;True;True;False;False;True;False;True;True;False;True;True;False;False;False;True;False;False;False;False;True;True;5e8fa80e524e2318384b2a43c6d7aa95a1715d7b2d9bb5fc02c7956b46065808;0.2627195709404303;0.6154705947109452;0.21889619489451426;0.41995425860008995
True;True;False;True;True;True;True;True;True;False;True;False;True;False;True;False;True;False;False;True;True;False;False;False;True;True;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;True;False;False;True;False;True;True;True;True;True;False;True;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;True;929c564906b972a8e5ff01a5c75b2fb5d5d326e9a99a19572bfc931de6456c79;0.28772073727719955;0.5639284405087511;0.24288645647082074;0.34928406960563224
False;True;False;True;True;True;True;True;True;True;True;False;True;False;True;False;True;False;False;True;True;False;True;False;True;True;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;True;False;True;True;True;False;True;True;True;True;False;False;False;False;False;True;False;False;True;False;False;True;True;False;False;False;False;True;True;False;True;True;False;False;False;True;False;True;False;False;True;True;6a45076ef4e7d5e2e19b1eff4c2400f12820aff5f5de35786a0a2f8889ce0fc1;0.9715748292304508;0.8755253744329715;0.8777270896918238;0.782263395859227
True;True;False;False;True;False;True;True;True;False;True;False;True;True;True;False;True;True;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;True;True;True;True;True;False;False;True;True;True;False;True;True;True;True;False;False;False;False;False;True;False;False;True;False;False;True;True;False;False;True;False;True;True;False;True;True;False;False;False;True;False;False;False;False;True;True;6e976880eb79d290632ccd5cb0c7ce0954165a7f5092a1d0c7788b79514c904e;0.26397764703600934;0.6149506724600894;0.21807730807809167;0.41771157425515043
False;True;False;True;True;True;True;True;True;False;True;False;True;False;True;False;True;True;False;True;True;False;True;False;True;True;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;False;False;True;True;False;True;True;True;True;True;False;False;False;False;False;True;False;False;True;False;True;True;True;False;False;False;False;True;True;False;True;True;False;False;False;True;False;True;False;False;True;True;a81f94290b1b4f571a07d9b91a109579ee7d03659cdf5216157b167156c79e37;0.945715262964615;0.8554572654499468;0.8277824645374658;0.7496209297882509
True;True;False;True;True;False;True;True;True;True;True;False;True;True;True;False;True;True;False;True;True;False;False;False;True;True;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;False;False;True;True;True;False;True;True;True;True;False;False;False;False;False;True;False;False;True;False;False;True;True;True;False;True;False;True;True;False;True;True;False;False;False;True;False;False;False;False;True;True;2f1b0cc3775d7509fd40c6014f1108f47283fdbc41def51207d446907f00e9fd;0.29527367967181417;0.6032489959358756;0.25490558273463354;0.39888426146367595
True;True;False;False;True;True;True;True;True;True;True;False;True;False;True;False;True;True;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;False;False;True;True;False;False;True;True;True;True;False;True;False;False;False;True;False;False;True;False;False;True;True;False;False;True;False;True;True;False;True;True;False;False;False;True;False;False;False;False;True;True;2b180b74b0da6eecd34b48ced760ce60b597d2ab96820499de0dccd6870518ed;0.27512214193672124;0.6239354688353345;0.23492540945941037;0.42827553826910897
True;True;False;True;True;False;True;True;True;False;True;False;True;True;True;False;True;False;False;True;True;False;True;False;True;True;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;True;False;True;True;False;True;True;True;True;True;False;False;False;False;False;True;False;False;True;False;True;True;True;False;False;False;False;True;True;False;True;True;False;False;False;True;False;False;False;False;True;True;8cf188052fddc783b2278a782a6bcdf1c80b48517973b48af64807875eb2db65;0.2860463620006524;0.5852043782150469;0.24181178568256123;0.36981920127794904
