coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,True,True,False,False,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,ffe5fd155155bb3f5e867f92280f01e4c64d7310b296b7e7cfa291acb24c5faf,0.8730327221620454,0
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,True,False,True,0,True,True,False,False,False,True,False,0,True,True,True,False,ff078fcf078572e9e6e0dc06f7a15f7c1fb23b2e3c105fc99ad58b81b53cc50e,0.8977095282733729,0
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,False,True,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,False,ff0700f5a5f0dcdfd6340cd6953d611c58d5879c481968757f08dfb7f6e8da8d,0.9038219342525524,0
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,True,0,False,True,False,False,True,False,False,0,False,False,False,False,f8a164db74b27d06578387d4b7a5451ee42064431e7851e6721f5083a0031f95,0.8617904764037269,0
False,True,False,False,True,True,False,False,False,False,0,6,False,False,0,0,0,6,True,False,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,f1ddaf2bbbabc5094dbd2f38bd541be96c4cad8d02e595e454d0124bf1a44f0c,0.8895956398088422,0
False,True,False,False,True,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,False,ee92640b6a7c4fa2d054cedcaa124cb62c2ebc8841976a01d19e036599d686b4,0.8917920427975963,0
False,True,True,True,False,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,e8ea605007e13c1548d05328a3161704f7421cd9a9eceeab7051f0a264af6d0e,0.8950282211437888,0
False,True,True,True,False,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,e729dcaf60ad3f56dfcfd593e41f27b610481c3437d56e1f4dc0efc2c2e10fd4,0.905077813800249,0
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,e3051e1d8003f4adb0d88a09a70826a0b01f4e4d165711f59a88559a177fd31c,0.8943441653103416,0
False,True,False,True,True,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,dddd2b2efb94ff0486a34c4e2835cffcdba85bac40bb13a7e8a65a5d37e65771,0.8922284500246948,0
