coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,False,True,False,False,True,False,True,False,False,0,0,False,False,0,0,0,6,True,False,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,ffa7a37a2391fe6330a7bb9cc6ff3ca33a21dad0574818e1fffba665080e9734,0.7920889256451416,0
False,False,False,True,True,True,False,True,False,False,0,0,False,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,fd22f0499c8771e44abc9a11b683adc072232a88fdf9844812a2654c7b323c73,0.7941934245555352,0
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,False,False,True,True,False,True,0,True,True,False,False,False,True,False,0,True,True,False,False,fb062d6049144a0933f4521ff1ff69269f88bc609e1e5fc127af35434408b1d2,0.7918171567637623,0
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,f9a71142929a49c290d159fb62a502f492e21eb989571a4d9dee57c2f8e771b2,0.78808202149036,0
False,False,False,True,True,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,f8ef418b70bcffbeb790785b4cb6fff42d2016fe6ea06ecf07e7e2b382005faf,0.7825337982834498,0
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,False,False,True,True,True,True,0,False,True,False,False,False,True,False,0,True,True,False,False,f8099ca622fb269a140d5dc9d3dde21fc842566e395677d5d050c65b33373619,0.7862308663569761,0
False,False,False,False,True,True,False,False,False,False,0,0,False,False,0,0,0,6,False,False,False,False,False,True,0,True,True,False,False,False,False,False,0,False,False,False,False,f52c3beee8b09a85e846cd3f422cf290867118c2aa330ca15808a033fac62580,0.7926219185146918,0
False,False,False,False,True,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,False,True,False,False,0,True,True,False,False,False,True,False,0,True,True,True,False,f50fe7d68b84b06dfcf2be4cbc03da894863ef12218190af982da4a500ef0b25,0.7889027891922344,0
False,False,True,True,False,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,f373c2e023ad8393a9aa5556ec2242e8e8a7ba4a5647eaa7aa7a80f55b1e94f1,0.7763545781787766,0
False,False,True,True,False,True,False,False,False,False,0,0,False,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,ecbbe3ea45e4aeecd7ab9e5f7d3eb071effa3965f80d4b6a351c4313747b885f,0.7950050888081176,0
