coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,cluster
False,False,True,False,False,False,False,True,False,False,0,0,True,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,fe187d85e9881b86f4c0f4c87ce14eb52f5e5d7a71cfb2b7ea75dad7bcb2e19c,0.7080888548171617,4.0
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,fd92d490c97767be9c1169ffc4675d9f01366f9f6ff0d08c8915904a1040642d,0.7045245339693185,4.0
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,fd09e8ce2cb01b0c854e55b713d61154a924d4a8a36a0ca8d5eb5fdceed91780,0.7688552612810112,4.0
False,True,True,False,False,False,False,True,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,fcfa31d6409fa706f158fd0785f60198dea711f4ea82aac71286ff5e7eb142c3,0.8480856068716439,3.0
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,fa2deb46827075242a1260f6b1197f4c23c8fb5b891cecc1feecbdf1d9917c34,0.7925173644107055,4.0
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,True,0,True,True,False,False,f9e51f4b858c6c4927540fb8cd1816f34bc7b7b5649f20eff05e2b5182079aa7,0.8460963466408339,3.0
False,True,True,False,False,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,f9841ba0dcc4ff6ef463609fffe51b34655c5723da9e3db4cd2567b6acdf561b,0.8346277975419503,3.0
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,f7b6efd01f9c28a9dbaf30553ec5b9c7b6eb2fbcb962d2338047bdb7f809c6fa,0.7096378523331005,4.0
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,False,0,True,True,False,False,f080510bd0108c3ab5123c80f7da9c4467d0b7fe7beefa014260fb9ab3ef794d,0.7153391737596256,4.0
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,f074f4391e33764e10b2bc4d1c2c23a51335f4166b2e59181e73d21be0f32f76,0.7097595786237663,4.0
